Name/Code,Key Characteristics,Overall Outer Diameter (or size Width xThickness for flat cable) in inch,Service/Function,Voltage Rating,Insulation,Jacket,Raceway Type,TID (Mrad),Manuf. & Model,Comments,Spec File Name,Request #,Revsion,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12P22OISTC3V,"12 Pair, 22 AWG, overall shield/individual shield, tray rated",0.57,Control Cable Analog ,300,PVC,PVC,Tray or Conduit,100,Belden 3009A, ,Belden3009A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12PR16IOSTC6V,"12 pairs, 16 AWG, FREP instrumentation cable, Individual and Overall shield, EPR, CPE, 600 Volts, UL Type TC, 90 C wet or dry",1.065,Instrumentation Cable,600,EPR (Flame retardant Ethylene Propylene Rubber Type II,CPE (Flame retardant thermoplastic Chlorinated Polyethylene,Tray or conduit,Core insulation 100 Mrad; Jacket 20 Mrad,General Cable 279760,This is likely the same cable as BICC T-87810(12PR/16),General279760.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12PR18IOSTC6V,"12 pair, 18 AWG, FREP instrumentation cable,  Individual and Overall shield, EPR, CPE, 600 Volts, UL Type TC, 90 C wet or dry",0.948,Instrumentation Cable,600,EPR (Flame retardant Ethylene Propylene Rubber Type II,CPE (Flame retardant thermoplastic Chlorinated Polyethylene,Tray or conduit,Core insulation 100 Mrad; Jacket 20 Mrad,General Cable 279730, This is likely the same cable as BICC T-87810(12PR/18),General279730.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12PR20THCPTC3V,"12 Pair, 20 AWG, Thermocouple Type K, individual Pair and overall shield, tray rated",0.598,Cryogenics systems,NA,PVC,PVC,Tray or Conduit,100,Belden 1014A, ,Belden1014A.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12PR24iSoSTC3V,"12 Pair, 24 AWG, stranded, tinned copper Conductors,  Individually shielded and jacketed Pairs, Overall shield, overall PVC jacket with ripcord.  Analog Multi-Pair Snake Cables",0.561,Cryo Module Instrumentation,300,Polyolefin,PVC,Tray or Conduit,100,Belden 1513C, ,Belden1513C.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFOutdoor2,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Outdoor/All Dielectric tube bundle   (2 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFOutdoor4,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Outdoor/All Dielectric tube bundle   (4 inner tubes)",0.9,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFOutdoor7,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Outdoor/All Dielectric tube bundle   (7 inner tubes)",1.1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFOutdoor19,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Outdoor/All Dielectric tube bundle   (19 inner tubes)",1.7,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PE,Conduit Only,100,"Sumitomo FB12SX (fiber) & TCxxTOX (tube bundle) (for 02, 07, or 19 tubes) or TCxxTOD (for 04 tubes) Where xx = the # of tubes.", ,Sumitomo-12SFibSBFOutdoor.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFRiser2,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Indoor/Riser rated tube bundle (2 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12SX (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12SFibSBFRiser3,"Sumitomo FuterFlex 8.3 micron Single Mode, 12 fibers, with Indoor/Riser rated tube bundle (3 inner tubes)",1,"Fiber Optic Cable for Data Comm, Spec. 16129",NA,NA,PVC,Tray or Conduit,100,Sumitomo FB12SX (Fiber) & TCxxTRX (Tube Bundle)  (where xx = the number of tubes in the bundle), ,Sumitomo-12SFibSBFRiser.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
